543,4134
3747,3036
2916,1237
1926,1877
4487,1373
1160,4717
4587,2448
254,801
3732,699
1787,4401
2780,281
1567,2577
1319,1452
2487,4115
2134,1006
276,1106
89,1722
1939,2854
2801,4440
1633,2410
2504,3657
2405,4287
3652,2102
343,2488
4044,1541
865,186
3972,275
670,1803
1586,268
2141,581
496,308
2379,3303
2047,913
236,3925
4283,4870
631,480
3338,3528
1527,650
1240,161
3015,933
1614,3768
2744,3371
3820,4246
4999,2850
1245,4653
4854,1727
139,1869
411,4457
2701,1940
4375,2715
3535,4071
2716,4668
2226,4943
1863,4253
3567,389
1635,4233
3192,3602
4413,3003
4980,2041
1559,4659
4756,1752
1206,52
149,4
1082,2678
875,4627
4021,3387
3188,396
119,3023
4552,1514
4157,3120
4619,266
2375,1539
3406,4135
1215,564
1029,4656
3238,2615
3823,2080
4189,4384
2118,4791
381,1214
2700,2502
1308,974
3200,3449
4649,564
2715,2163
1091,1021
4014,520
4629,4535
1723,982
2077,3988
4136,1843
4017,3009
1764,1412
2410,4260
4317,4559
2358,741
2032,3320
1638,60
3944,541
4362,1624
349,1460
2238,4437
1480,1265
3919,3420
3029,4447
2844,477
3311,2358
247,3188
3338,2470
1445,2861
3770,2038
2763,1848
3050,1146
4992,1142
324,2836
4861,4255
152,620
1115,176
4228,2551
1356,382
287,1786
1404,491
2862,4624
431,1912
1845,4363
2372,4495
2492,753
4000,4063
445,3323
4857,2487
1256,1559
2222,2544
4484,3612
1813,274
3237,2635
1789,212
1584,4461
4326,432
4837,705
3343,3540
2889,1736
1232,2570
1955,4990
4935,4410
604,4004
793,1207
2022,2703
2491,4796
2712,1630
2395,165
571,3785
1133,3139
3160,3978
342,1178
2157,800
3893,2748
3782,2100
2894,3574
1728,2802
493,3603
3519,3665
901,249
4705,4181
4008,3179
1675,319
2100,3032
4422,1146
1700,66
3337,746
1898,3019
2190,2556
3098,1990
1237,4392
2023,2804
2106,2600
1541,4049
1794,1796
2510,363
1172,1039
1967,686
929,2718
2952,3963
4753,1864
1293,1651
494,2301
4632,3304
250,2767
36,1350
1990,3764
2350,2969
1335,737
1748,4062
380,148
898,2563
3283,3128
1663,2273
3831,1069
4056,1801
1334,3015
1403,2059
3472,721
1527,3630
1670,4748
2136,3078
1271,2694
255,2597
4116,4709
1357,4133
4588,4158
814,4805
1060,825
1253,673
3070,4004
1500,4289
3572,2520
18,1560
3373,1711
2646,2790
667,4190
1690,4710
71,527
2920,3157
3514,408
3353,3730
3071,3403
3744,2
809,4411
4730,4793
837,4120
103,892
2630,4620
819,1521
3152,4818
4171,1552
1259,4929
3336,267
2452,944
1468,4381
342,4570
684,166
4004,2526
258,2757
4251,4117
601,3538
1089,2038
2694,449
17,201
3089,2815
889,2938
1851,1333
4626,4385
2076,2407
205,2444
629,1767
4416,4403
137,3663
968,1608
4300,2501
1067,2724
2650,2307
2704,3647
151,2691
4657,4486
388,3569
4737,342
4187,3857
1153,3486
1082,2986
3676,3697
2289,2720
2094,1563
385,1514
4244,1588
4839,3072
2817,1553
1049,598
1599,260
1606,4150
4795,2182
1465,4572
374,748
3056,2073
880,4740
3093,9
4153,3438
469,2913
705,4168
2028,3040
3756,3375
2513,907
4566,2390
2089,1932
4852,4687
3105,4483
2302,3833
1032,544
4374,4241
3666,4367
561,2501
824,4509
4374,996
4109,4332
3144,3140
294,2435
2849,1998
3307,3224
3576,2460
3687,4140
808,1816
3388,731
4874,3174
3627,595
832,4677
505,345
240,205
2168,2628
2479,3315
2785,3221
1215,3812
2012,4361
3297,4877
4495,155
3088,1107
4415,4589
3059,4265
4999,718
3313,2549
4202,4199
2390,172
242,3486
4584,2505
162,2293
1437,2177
239,461
3408,3883
2189,1678
371,1994
4145,3832
3488,2234
2981,1276
4980,1790
3346,585
3670,4688
3750,4749
4518,2122
4443,279
4817,3601
4612,3902
4208,4112
2803,2947
4101,2396
4109,1680
2202,611
4856,3700
2047,3780
4360,2595
519,406
2206,3062
3206,1086
1660,4484
3003,3823
77,3943
4660,2787
4335,268
3960,1271
3998,4018
1450,4995
3605,2173
2755,705
1799,1070
4714,4147
4344,1445
2067,623
4471,4035
3657,2101
1159,3089
2074,8
2139,3099
2713,2697
630,3965
3922,1514
4904,3694
950,2566
1510,214
2824,361
3808,2283
2912,4144
2345,2331
4149,3857
166,4853
1711,3215
2660,380
2593,2858
1681,4264
3334,1376
2135,2824
3812,1401
2977,1785
4522,4634
634,2739
4311,3420
4204,3730
953,2743
684,1963
1577,2615
406,4867
2134,381
209,4189
887,4663
3330,2360
4815,1214
2091,549
480,4507
1216,1646
722,4196
565,169
4465,1655
430,4725
1500,717
3308,131
1816,3787
3708,142
138,378
3892,807
1536,2402
169,2739
1810,4415
1571,399
2497,778
1203,2487
1649,2650
2341,1839
2218,4294
3423,371
4283,388
1329,4932
2990,356
1619,2326
2835,980
4562,3348
390,3216
4551,4709
3119,744
2077,4068
823,2729
4537,2412
4789,483
2139,3801
4491,4265
1122,3381
3707,542
3428,4363
1526,875
3661,2563
4600,2331
1487,1046
3062,1355
4393,1145
3372,206
4847,1687
4612,2266
2813,1881
372,2623
2538,1755
4244,2636
1814,2409
473,1690
3405,2280
2312,4586
482,4824
752,3486
1132,1563
4829,1794
4321,3851
3467,3094
1822,4314
801,4004
2088,610
278,4134
1194,4502
1897,3603
760,4770
1675,1495
1503,4957
4244,3601
2773,3854
1257,561
3094,3817
1785,4222
255,413
762,2576
715,2537
4526,2266
4375,4891
87,3713
981,4456
1207,1129
4793,667
4898,972
165,3183
4141,1085
2281,238
4342,2354
3357,1094
3396,2508
2734,1053
640,1621
3151,2237
3812,1525
4796,3354
372,2099
266,4793
2826,4624
4783,620
464,1958
1606,318
198,4206
4015,4761
4714,4092
43,4348
1637,310
2595,4177
4010,3981
3534,1798
18,103
1114,1628
4294,236
2269,4077
634,4652
1823,2109
4204,343
254,2406
1526,3838
3938,4021
4755,252
4201,4600
1636,4102
1051,4710
846,1457
1759,710
274,789
1641,3487
2394,402
3454,576
1254,2004
187,191
995,3721
815,4321
3404,3634
566,3824
1909,4263
784,4757
1508,3446
1043,373
4169,993
1971,3866
2602,3610
2455,126
3007,3273
1014,4483
157,1384
114,4276
3155,4710
2393,1369
3202,3620
1714,3913
1688,3098
784,4013
2179,3775
2979,665
2835,673
4072,715
4908,3145
3347,2895
3697,1766
4723,1675
3577,4975
3546,1918
4941,3776
516,3460
4737,377
2002,2680
4576,4945
927,1236
4876,4046
4788,1147
548,2582
2804,121
982,1054
21,3715
591,4302
1766,819
995,1801
2736,2603
1131,3069
2519,4372
566,4463
1712,2877
4735,4752
2562,4845
2837,4946
2570,2724
4020,1436
1111,2699
2565,2890
2320,147
1114,2550
4775,488
1750,3853
301,2849
3260,3572
487,1310
2394,2535
2922,1543
250,2144
751,2425
2989,3245
3599,1997
1575,3894
3356,1646
4271,368
3351,4679
1822,3928
2061,1479
2711,3841
